티커,종목명,MA기간,돌파횟수,상승(10%↑),하락(5%↓),무승부,승률(%),목표달성률(%),평균최대수익률(%),평균최대손실률(%),최고수익률(%),최대손실률(%)
005930 KS,SAMSUNG ELECTRONICS CO LTD,12,8,0,0,8,0.0,0.0,3.3981991867199257,-1.6019751648357834,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,13,6,0,0,6,0.0,0.0,3.558299396357969,-1.7172261477647186,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,14,7,0,0,7,0.0,0.0,3.0309541942812896,-1.9869442088948497,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,15,6,0,0,6,0.0,0.0,2.8188745665120263,-2.1748857734409834,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,16,6,0,0,6,0.0,0.0,2.8188745665120263,-2.1748857734409834,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,17,5,0,0,5,0.0,0.0,3.40927288345019,-1.8888124129940524,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,18,6,0,0,6,0.0,0.0,3.6682226915816467,-1.701164845650295,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,19,6,0,0,6,0.0,0.0,3.6682226915816467,-1.701164845650295,7.118147481379506,-4.4635934048249535
005930 KS,SAMSUNG ELECTRONICS CO LTD,20,6,0,0,6,0.0,0.0,3.6682226915816467,-1.701164845650295,7.118147481379506,-4.4635934048249535
006260 KS,LS CORP,10,12,4,3,5,57.14285714285714,33.33333333333333,8.65674020175338,-3.7204388016700616,19.59171237050579,-11.578667825499144
006260 KS,LS CORP,11,11,3,3,5,50.0,27.27272727272727,7.816549976019605,-4.164780072285274,19.59171237050579,-11.578667825499144
006260 KS,LS CORP,12,11,2,4,5,33.33333333333333,18.181818181818183,6.934544205933192,-4.636158811348321,19.59171237050579,-12.46646477323366
