Symbol,Category,Name,Price,RiseFall,Change,ChangeRate,NAV,EarningRate,Volume,Amount,MarCap
454780,6,KIWOOM 종합채권(AA-이상)액티브,100370,5,-510,-0.51,100398.0,-2.6537,152,15,3809
448300,4,TIGER 미국나스닥100(H),23810,2,180,0.76,23689.0,20.6412,210951,5020,3798
448630,7,RISE 삼성그룹Top3채권혼합,15930,2,335,2.15,15983.0,9.2831,910503,14361,3791
433500,2,ACE 원자력TOP10,73545,2,490,0.67,73636.0,5.0203,160624,11985,3751
0053L0,4,TIGER 차이나휴머노이드로봇,13275,2,120,0.91,13303.0,-0.6363,1237965,16539,3750
426020,4,TIME 미국S&P500액티브,36205,2,445,1.24,35870.0,23.2678,371807,13453,3744
0046A0,6,TIGER 미국초단기(3개월이하)국채,10400,5,-15,-0.14,10405.0,5.3796,1757335,18357,3712
483320,4,ACE 엔비디아밸류체인액티브,29645,2,420,1.44,29283.0,64.2315,926881,27501,3676
472170,7,TIGER 미국테크TOP10채권혼합,14840,2,65,0.44,14765.0,9.6474,415278,6178,3658
439870,6,KODEX 국고채30년액티브,93495,5,-2035,-2.13,93345.0,-10.0852,27321,2578,3643
456880,7,ACE 미국달러SOFR금리(합성),13115,5,-5,-0.04,13109.0,5.6786,101093,1329,3638
453870,4,TIGER 인도니프티50,12410,5,-55,-0.44,12473.0,-5.8826,401375,4989,3636
0098F0,2,KODEX 원자력SMR,19310,5,-255,-1.3,19371.0,-0.5584,1331119,26088,3514
439860,6,KODEX ESG종합채권(A-이상)액티브,112955,5,-230,-0.2,113166.0,-0.9149,770,87,3514
474590,2,WON 반도체밸류체인액티브,53150,2,1060,2.03,53028.0,68.5487,466501,24544,3508
0043Y0,4,TIME 차이나AI테크액티브,24360,5,-1270,-4.96,24470.0,61.8055,1125980,27926,3508
388420,2,RISE 비메모리반도체액티브,38865,2,540,1.41,38711.0,66.8117,882759,34219,3506
241180,4,TIGER 일본니케이225,38065,2,105,0.28,38111.0,15.6259,178489,6843,3502
441680,7,TIGER 미국나스닥100커버드콜(합성),11695,2,100,0.86,11686.0,11.1912,341222,3997,3491
473330,6,SOL 미국30년국채커버드콜(합성),9085,2,70,0.78,9151.0,-0.3326,790660,7209,3489
483340,4,ACE 구글밸류체인액티브,28295,2,335,1.2,28006.0,60.2751,513261,14559,3480
484880,2,SOL 금융지주플러스고배당,20685,2,165,0.8,20684.0,-9.1045,479628,9984,3444
481190,4,SOL 미국테크TOP10,19125,2,135,0.71,18989.0,22.3656,289011,5556,3423
0038A0,4,KODEX 미국휴머노이드로봇,19015,5,-20,-0.11,18933.0,20.2783,300419,5742,3423
485540,4,KODEX 미국AI테크TOP10,17445,2,145,0.84,17289.0,25.1171,1511481,26535,3419
461490,7,RISE 글로벌자산배분액티브,15180,5,-50,-0.33,15228.0,1.4994,436070,6648,3408
475080,7,KODEX 테슬라커버드콜채권혼합액티브,8625,5,-55,-0.63,8689.0,4.8222,650209,5625,3394
471040,4,KoAct 글로벌AI&로봇액티브,38075,2,495,1.32,37725.0,53.1377,303328,11589,3274
463050,2,TIME K바이오액티브,15880,5,-70,-0.44,15855.0,-24.6754,873748,13834,3271
442320,4,RISE 글로벌원자력,45810,2,380,0.84,46137.0,0.4755,125707,5801,3262
489030,2,PLUS 고배당주위클리커버드콜,6925,5,-85,-1.21,6927.0,-23.2089,1867008,13144,3234
245710,4,ACE 베트남VN30(합성),31665,5,-340,-1.06,32163.0,0.2348,98969,3157,3198
283580,4,KODEX 차이나CSI300,17345,5,-150,-0.86,17359.0,10.2986,151957,2663,3191
364970,2,TIGER 바이오TOP10,7560,2,30,0.4,7549.0,-19.7534,3361347,25318,3164
394670,4,TIGER 글로벌리튬&2차전지SOLACTIVE(합성),14295,5,-115,-0.8,14410.0,20.334,118053,1703,3162
421320,2,PLUS 우주항공,40395,5,-2285,-5.35,40371.0,-2.033,904699,37114,3131
472920,6,HK 종합채권(AA-이상)액티브,99160,2,95,0.1,98739.0,-2.7774,20,1,3126
433330,4,SOL 미국S&P500,23670,2,45,0.19,23631.0,15.2588,219831,5220,3124
486450,4,SOL 미국AI전력인프라,25100,3,0,0.0,24996.0,18.5758,139859,3512,3112
0026S0,4,1Q 미국S&P500,13890,2,30,0.22,13860.0,15.4501,417958,5828,3111
0190G0,2,KODEX 반도체타겟위클리커버드콜,11275,2,85,0.76,11340.0,,4950863,55631,3067
302450,1,RISE 코스피,91370,2,3935,4.5,91199.0,35.4879,46346,4223,3061
