ticker,date,close_price,prev_close,price_change,price_change_percent,ma10,ma_distance_percent,ma_distance_points,ma_status,condition_1_trend_breakdown,last_ma10_break_below,last_ma10_break_above,days_below_ma10,trend_direction,trend_detail,current_position,rvol,rvol_strength,rvol_direction,rvol_change,condition_2_volume_confirmation,signal,signal_category,reasoning
002990 KS,N/A,4145.0,4250.0,-105.0,-2.4705882352941173,4181.5,-0.8728925026904221,-36.5,10일선 근처,True,2026-01-08,2026-01-05,1,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-08),below,0.5598174061553384,매우 약함 (1.5배 미만),하락,-0.2981236724716432,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
092790 KS,N/A,9120.0,9380.0,-260.0,-2.771855010660981,9444.0,-3.430749682337993,-324.0,10일선 아래 (근접),True,2026-01-07,2026-01-05,2,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-07),below,0.615255584668691,매우 약함 (1.5배 미만),하락,-0.32955686557368047,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
004370 KS,N/A,404000.0,414000.0,-10000.0,-2.4154589371980677,427450.0,-5.4860217569306355,-23450.0,10일선 아래 (멀리),True,2025-12-30,2025-12-29,6,하락세,10일선 위(2025-12-29) → 10일선 아래(2025-12-30),below,1.5424436971364517,약함 (1.5~2배),상승,0.004377363624344488,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
010170 KS,N/A,2960.0,2755.0,205.0,7.441016333938294,2516.7,17.614336233957175,443.3000000000002,10일선 위 (멀리),False,2025-12-30,2026-01-02,0,상승세,10일선 아래(2025-12-30) → 10일선 위(2026-01-02),above,0.8261377313422084,매우 약함 (1.5배 미만),하락,-0.5691800185446115,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
034020 KS,N/A,83600.0,83800.0,-200.0,-0.23866348448687352,79250.0,5.488958990536277,4350.0,10일선 위 (멀리),False,2025-12-24,2026-01-05,0,상승세,10일선 아래(2025-12-24) → 10일선 위(2026-01-05),above,0.6757051745777523,매우 약함 (1.5배 미만),하락,-0.5935049813272615,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
003160 KS,N/A,28600.0,27200.0,1400.0,5.147058823529411,24050.0,18.91891891891892,4550.0,10일선 위 (멀리),False,2025-12-10,2025-12-22,0,상승세,10일선 아래(2025-12-10) → 10일선 위(2025-12-22),above,2.485014817211158,보통 (2~2.5배),상승,0.35258928497602415,True,HOLD,거래량 폭증만 (10일선 위),10일선 위
347850 KQ,N/A,108000.0,98900.0,9100.0,9.201213346814964,94910.0,13.792013486460858,13090.0,10일선 위 (멀리),False,2025-12-30,2026-01-05,0,상승세,10일선 아래(2025-12-30) → 10일선 위(2026-01-05),above,1.331219437657765,매우 약함 (1.5배 미만),상승,0.47512085978685603,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
277810 KQ,N/A,447000.0,466000.0,-19000.0,-4.07725321888412,474700.0,-5.83526437750158,-27700.0,10일선 아래 (멀리),True,2026-01-06,2025-12-22,3,하락세,10일선 위(2025-12-22) → 10일선 아래(2026-01-06),below,0.7863575021949193,매우 약함 (1.5배 미만),하락,-0.2906154599111733,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
032350 KS,N/A,21050.0,20950.0,100.0,0.47732696897374705,22090.0,-4.7080126754187415,-1040.0,10일선 아래 (근접),True,2026-01-02,2025-12-30,5,하락세,10일선 위(2025-12-30) → 10일선 아래(2026-01-02),below,0.9051312645310247,매우 약함 (1.5배 미만),상승,0.03911214784871375,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
011170 KS,N/A,69000.0,70300.0,-1300.0,-1.849217638691323,70910.0,-2.69355521083063,-1910.0,10일선 아래 (근접),True,2025-12-26,2025-12-23,8,하락세,10일선 위(2025-12-23) → 10일선 아래(2025-12-26),below,1.290524434231903,매우 약함 (1.5배 미만),상승,0.3052789391357852,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
141080 KQ,N/A,184700.0,178900.0,5800.0,3.242034656232532,175680.0,5.134335154826958,9020.0,10일선 위 (멀리),False,2026-01-02,2026-01-05,0,상승세,10일선 아래(2026-01-02) → 10일선 위(2026-01-05),above,1.2717715904883922,매우 약함 (1.5배 미만),상승,0.2419279559778984,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
305090 KQ,N/A,10770.0,10930.0,-160.0,-1.463860933211345,10874.0,-0.9564097848077984,-104.0,10일선 근처,True,2026-01-08,2025-12-16,1,하락세,10일선 위(2025-12-16) → 10일선 아래(2026-01-08),below,0.6780065553884596,매우 약함 (1.5배 미만),하락,-0.001129725920077096,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
098120 KQ,N/A,16780.0,17340.0,-560.0,-3.229527104959631,17456.0,-3.8725939505041245,-676.0,10일선 아래 (근접),True,2026-01-07,2026-01-05,2,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-07),below,0.7829013895627065,매우 약함 (1.5배 미만),하락,-0.3890480636954464,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
088980 KS,N/A,11110.0,11170.0,-60.0,-0.5371530886302597,11168.6,-0.5246852783697183,-58.600000000000364,10일선 근처,True,2026-01-02,2025-12-30,5,하락세,10일선 위(2025-12-30) → 10일선 아래(2026-01-02),below,0.6692733279702774,매우 약함 (1.5배 미만),하락,-0.0752986847274626,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
006800 KS,N/A,27500.0,27850.0,-350.0,-1.2567324955116697,25215.0,9.062066230418402,2285.0,10일선 위 (멀리),False,2025-12-15,2025-12-18,0,상승세,10일선 아래(2025-12-15) → 10일선 위(2025-12-18),above,0.573618262961232,매우 약함 (1.5배 미만),하락,-0.6695500432752451,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
059090 KQ,N/A,13310.0,14000.0,-690.0,-4.928571428571429,13554.0,-1.8002065810830752,-244.0,10일선 아래 (근접),True,2026-01-08,2025-12-29,1,하락세,10일선 위(2025-12-29) → 10일선 아래(2026-01-08),below,0.5680732975108007,매우 약함 (1.5배 미만),하락,-0.3166675746164951,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
083650 KQ,N/A,53300.0,55100.0,-1800.0,-3.2667876588021776,54300.0,-1.841620626151013,-1000.0,10일선 아래 (근접),True,2026-01-08,2026-01-05,1,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-08),below,0.5443649119467029,매우 약함 (1.5배 미만),하락,-2.852475027642758,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
207940 KS,N/A,1872500.0,1775000.0,97500.0,5.492957746478874,1728650.0,8.321522575420126,143850.0,10일선 위 (멀리),False,2025-12-23,2026-01-05,0,상승세,10일선 아래(2025-12-23) → 10일선 위(2026-01-05),above,2.370671778890756,보통 (2~2.5배),상승,0.7325718018563843,True,HOLD,거래량 폭증만 (10일선 위),10일선 위
005930 KS,N/A,139500.0,141500.0,-2000.0,-1.4134275618374559,126590.0,10.198277905047792,12910.0,10일선 위 (멀리),False,2025-12-19,2025-12-22,0,상승세,10일선 아래(2025-12-19) → 10일선 위(2025-12-22),above,1.0944476527079998,매우 약함 (1.5배 미만),하락,-0.4961754627067516,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
010140 KS,N/A,26300.0,25400.0,900.0,3.543307086614173,24790.0,6.091165792658329,1510.0,10일선 위 (멀리),False,2025-12-16,2026-01-06,0,상승세,10일선 아래(2025-12-16) → 10일선 위(2026-01-06),above,1.869710860703767,약함 (1.5~2배),하락,-0.3196646568207777,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
003720 KS,N/A,5670.0,5860.0,-190.0,-3.242320819112628,6122.0,-7.383208101927474,-452.0,10일선 아래 (멀리),True,2026-01-06,2026-01-05,3,하락세,10일선 위(2026-01-05) → 10일선 아래(2026-01-06),below,1.5871618335426536,약함 (1.5~2배),하락,-0.6876721091383144,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
075580 KS,N/A,19090.0,19010.0,80.0,0.4208311415044713,18090.0,5.527915975677169,1000.0,10일선 위 (멀리),False,2025-12-26,2026-01-06,0,상승세,10일선 아래(2025-12-26) → 10일선 위(2026-01-06),above,1.3216360939659533,매우 약함 (1.5배 미만),하락,-1.0157658329380845,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
318160 KQ,N/A,7840.0,8010.0,-170.0,-2.1223470661672907,8222.0,-4.646071515446364,-382.0,10일선 아래 (근접),True,2026-01-07,2026-01-02,2,하락세,10일선 위(2026-01-02) → 10일선 아래(2026-01-07),below,0.9234263322192787,매우 약함 (1.5배 미만),하락,-0.12740020308679278,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
099320 KQ,N/A,110600.0,100100.0,10500.0,10.48951048951049,82180.0,34.582623509369675,28420.0,10일선 위 (멀리),False,2025-11-21,2025-12-08,0,상승세,10일선 아래(2025-11-21) → 10일선 위(2025-12-08),above,1.1941835222065882,매우 약함 (1.5배 미만),상승,0.6180822603118745,False,HOLD,정상 (신호 없음),"10일선 위, 거래량 부족"
010780 KS,N/A,21725.0,22400.0,-675.0,-3.013392857142857,23567.5,-7.8179696616102685,-1842.5,10일선 아래 (멀리),True,2025-12-29,2025-12-02,7,하락세,10일선 위(2025-12-02) → 10일선 아래(2025-12-29),below,0.7429058477515442,매우 약함 (1.5배 미만),상승,0.1940469350940156,False,HOLD,추세 하락만 (거래량 부족),"10일선 하회, 거래량 부족"
